Order ID,Branch Location,Branch Name,Business Name,Is Deleted,Item ID,Item Name,Item Price,Order Item Number,Item Status,Packed Quantity,Quantity,Total Price,Order Date,Order Region,Order Local Area,Recency,Frequency,Monetary_Sum,Avg_Quantity,Avg_Purchase_Value,Loyalty_Index,Value_Tier,Engagement_Score,Cluster
4289,Lagos,Renuzi Ventures,Renuzi Ventures,False,6017191e09e73f2f7a598bd8,Knorr Chicken BTF 17x50x8g ,9450.0,MLTL69ETM3O0SEZZPQKPZ4MQ,Delivered,40,40,378000.0,2021-05-26,Lagos,Alimosho,1,817,330689228.0,49.23623011015912,404760.37698898406,330689228.0,High,1178.681848406283,1
4288,Lagos,Renuzi Ventures,Renuzi Ventures,False,6025869609e73f2f7a59aea7,Knorr Beef 17x50x8g ,9280.0,MLYXAF07103KOIP459FOHAFA,Delivered,15,15,139200.0,2021-05-26,Lagos,Alimosho,1,817,330689228.0,49.23623011015912,404760.37698898406,330689228.0,High,1178.681848406283,1
4288,Lagos,Renuzi Ventures,Renuzi Ventures,False,6017191e09e73f2f7a598bd8,Knorr Chicken BTF 17x50x8g ,9450.0,ML0EQ81JPE1EC7P4HAMTV8OQ,Delivered,30,30,283500.0,2021-05-26,Lagos,Alimosho,1,817,330689228.0,49.23623011015912,404760.37698898406,330689228.0,High,1178.681848406283,1
4287,Lagos,Renuzi Ventures,Renuzi Ventures,False,6017191e09e73f2f7a598bd8,Knorr Chicken BTF 17x50x8g ,9450.0,ML6LGH0VD58USUET5I24HYRG,Delivered,1,1,9450.0,2021-05-26,Lagos,Alimosho,1,817,330689228.0,49.23623011015912,404760.37698898406,330689228.0,High,1178.681848406283,1
4287,Lagos,Renuzi Ventures,Renuzi Ventures,False,6025869609e73f2f7a59aea7,Knorr Beef 17x50x8g ,9280.0,MLDNGEMQALCEK91H3WOY7Z3A,Delivered,1,1,9280.0,2021-05-26,Lagos,Alimosho,1,817,330689228.0,49.23623011015912,404760.37698898406,330689228.0,High,1178.681848406283,1
4286,Lagos,Deeski Store Limited,Deeski Store Limited,False,6098fc342498ec1dd3804e8f,Nestle Milo - 20g,9170.0,MLARB00PEWWKGDXIOGWVO9PG,Delivered,3,3,27510.0,2021-05-26,Lagos,Alimosho,2,408,78145181.14,27.387254901960784,191532.30671568628,78145181.14,High,371.3776044637496,0
4285,Lagos,Deeski Store Limited,Deeski Store Limited,False,6098fc342498ec1dd3804e8f,Nestle Milo - 20g,9170.0,MLMHUSN0NJDK6LVTWRP7ICMW,Delivered,50,50,458500.0,2021-05-26,Lagos,Alimosho,2,408,78145181.14,27.387254901960784,191532.30671568628,78145181.14,High,371.3776044637496,0
4284,Lagos,Deeski Store Limited,Deeski Store Limited,False,6098fc342498ec1dd3804e8f,Nestle Milo - 20g,9170.0,MLNVBQXMG58K0OMF9ZAX4ZHQ,Delivered,2,2,18340.0,2021-05-26,Lagos,Alimosho,2,408,78145181.14,27.387254901960784,191532.30671568628,78145181.14,High,371.3776044637496,0
4283,Lagos,Deeski Store Limited,Deeski Store Limited,False,6098fc342498ec1dd3804e8f,Nestle Milo - 20g,9170.0,MLDUVGY24MMEOY8ZU4J1H3AG,Delivered,2,2,18340.0,2021-05-26,Lagos,Alimosho,2,408,78145181.14,27.387254901960784,191532.30671568628,78145181.14,High,371.3776044637496,0
4282,Lagos,Deeski Store Limited,Deeski Store Limited,False,6098fc342498ec1dd3804e8f,Nestle Milo - 20g,9170.0,MLPJ6M5WYJRE2IY0DMN8HUQW,Delivered,2,2,18340.0,2021-05-26,Lagos,Alimosho,2,408,78145181.14,27.387254901960784,191532.30671568628,78145181.14,High,371.3776044637496,0
4281,Lagos,Renuzi Ventures,Renuzi Ventures,False,5fc8be073262da995e0d1a2c,ONGA POWDER 50Gs GOG,3100.0,ML0A5GQI8GEUSJJ40JGZA2MQ,Cancelled,4,4,12400.0,2021-05-26,Lagos,Oshodi-Isolo,1,817,330689228.0,49.23623011015912,404760.37698898406,330689228.0,High,1178.681848406283,1
4280,Lagos,Deeski Store Limited,Deeski Store Limited,False,6098fc342498ec1dd3804e8f,Nestle Milo - 20g,9170.0,MLYADUCXPOUEQPXGU1WFBCMA,Delivered,3,3,27510.0,2021-05-26,Lagos,Oshodi-Isolo,2,408,78145181.14,27.387254901960784,191532.30671568628,78145181.14,High,371.3776044637496,0
4279,Lagos,Renuzi Ventures,Renuzi Ventures,False,5fc8be073262da995e0d1a2c,ONGA POWDER 50Gs GOG,3100.0,MLD1NB0TMCQKYKVKPY6WXBXW,Cancelled,4,4,12400.0,2021-05-26,Lagos,Alimosho,1,817,330689228.0,49.23623011015912,404760.37698898406,330689228.0,High,1178.681848406283,1
4278,Lagos,Deeski Store Limited,Deeski Store Limited,False,6080453869c51b4e80e70333,HOLLANDIA EVAP MILK 120g X 24 SLIM,2605.0,ML09FMFK0PJ0WE23JQMH2AYG,Cancelled,1,1,2605.0,2021-05-26,Lagos,Alimosho,2,408,78145181.14,27.387254901960784,191532.30671568628,78145181.14,High,371.3776044637496,0
4277,Lagos,Renuzi Ventures,Renuzi Ventures,False,5fca12e83262da995e0d1a60,Sure Body Spray Women Anti Bacteria Odour Protect.,1000.0,ML970TOWGBRKMU1EDWXBZMRQ,Cancelled,1,1,1000.0,2021-05-26,Lagos,Alimosho,1,817,330689228.0,49.23623011015912,404760.37698898406,330689228.0,High,1178.681848406283,1
4276,Lagos,Renuzi Ventures,Renuzi Ventures,False,5fc8be073262da995e0d1a2c,ONGA POWDER 50Gs GOG,3100.0,MLM2Y8EL8PH0YUENJBJNVHYA,Cancelled,2,2,6200.0,2021-05-26,Lagos,Alimosho,1,817,330689228.0,49.23623011015912,404760.37698898406,330689228.0,High,1178.681848406283,1
4275,Lagos,Deeski Store Limited,Deeski Store Limited,False,6098fc342498ec1dd3804e8f,Nestle Milo - 20g,9170.0,MLVPLYKND2TU05KC0JZ7EN3A,Cancelled,2,2,18340.0,2021-05-26,Lagos,Alimosho,2,408,78145181.14,27.387254901960784,191532.30671568628,78145181.14,High,371.3776044637496,0
4274,Lagos,Deeski Store Limited,Deeski Store Limited,False,6098fc342498ec1dd3804e8f,Nestle Milo - 20g,9170.0,MLVHZZO7IVRKQWCFSB2ALOTA,Delivered,2,2,18340.0,2021-05-26,Lagos,Alimosho,2,408,78145181.14,27.387254901960784,191532.30671568628,78145181.14,High,371.3776044637496,0
4272,Lagos,Deeski Store Limited,Deeski Store Limited,False,6098fc342498ec1dd3804e8f,Nestle Milo - 20g,9170.0,MLWIF2VBQT00KOEY6C2TII1A,Cancelled,2,2,18340.0,2021-05-26,Lagos,Oshodi-Isolo,2,408,78145181.14,27.387254901960784,191532.30671568628,78145181.14,High,371.3776044637496,0
4271,Lagos,Multipro Consumer Product Limited,MUL,False,6076c792a6000742949a8192,CHIN CHIN MINIMIE STAND UP POUCH - 900gx12,7841.25,ML0MPEWI0XEKQ4SJB00NSR0Q,Cancelled,1,1,7841.25,2021-05-26,Lagos,Oshodi-Isolo,1,257,2429793.2,2.2568093385214008,9454.448249027238,2429793.2,Medium,370.7726255084636,0
4270,Lagos,Deeski Store Limited,Deeski Store Limited,False,6098fc342498ec1dd3804e8f,Nestle Milo - 20g,9170.0,MLZHQ7NK0PA0GV1EYMM1EP6G,Delivered,2,2,18340.0,2021-05-26,Lagos,Ifako-Ijaye,2,408,78145181.14,27.387254901960784,191532.30671568628,78145181.14,High,371.3776044637496,0
4269,Lagos,Tripple P Dazzled,Tripple P Dazzled,False,606c7b1069c51b4e80e6f6a0,Milo Sachet - 20g,9250.0,MLLYARFNTC5UEMMILWPTQMQQ,Delivered,2,2,18500.0,2021-05-26,Lagos,Oshodi-Isolo,1,523,375521029.0,76.18738049713193,718013.4397705545,375521029.0,High,754.5295063849279,1
4268,Lagos,Tripple P Dazzled,Tripple P Dazzled,False,606c7b1069c51b4e80e6f6a0,Milo Sachet - 20g,9250.0,MLJVMLVWYWN0OA78GGFMPLGW,Cancelled,2,2,18500.0,2021-05-26,Lagos,Oshodi-Isolo,1,523,375521029.0,76.18738049713193,718013.4397705545,375521029.0,High,754.5295063849279,1
4268,Lagos,Tripple P Dazzled,Tripple P Dazzled,False,606c7b1069c51b4e80e6f6a0,Milo Sachet - 20g,9250.0,MLQPPOJ5FSCUYO4W7OJRYOQQ,Cancelled,2,2,18500.0,2021-05-26,Lagos,Oshodi-Isolo,1,523,375521029.0,76.18738049713193,718013.4397705545,375521029.0,High,754.5295063849279,1
4267,Lagos,Tripple P Dazzled,Tripple P Dazzled,False,606c7b1069c51b4e80e6f6a0,Milo Sachet - 20g,9250.0,MLZGMRMQZE0EKUBDBFOQ02QQ,Cancelled,2,2,18500.0,2021-05-26,Lagos,Mushin,1,523,375521029.0,76.18738049713193,718013.4397705545,375521029.0,High,754.5295063849279,1
4266,Lagos,Tripple P Dazzled,Tripple P Dazzled,False,606c7b1069c51b4e80e6f6a0,Milo Sachet - 20g,9250.0,MLO9RWSVP9P00AM40CDBQBZG,Delivered,2,2,18500.0,2021-05-26,Lagos,Agege,1,523,375521029.0,76.18738049713193,718013.4397705545,375521029.0,High,754.5295063849279,1
4265,Lagos,Tripple P Dazzled,Tripple P Dazzled,False,606c7b1069c51b4e80e6f6a0,Milo Sachet - 20g,9250.0,MLSDFRWEFS4KGFERVY5XVA6Q,Delivered,2,2,18500.0,2021-05-26,Lagos,Agege,1,523,375521029.0,76.18738049713193,718013.4397705545,375521029.0,High,754.5295063849279,1
